"term","extraction_date","count"
"early signs of the flu",2021-05-23,118
"early signs of the flu",2021-05-24,118
"early signs of the flu",2021-05-26,118
"early signs of the flu",2021-05-27,118
"early signs of the flu",2021-05-29,118
"early signs of the flu",2021-05-31,118
"early signs of the flu",2021-06-01,118
"early signs of the flu",2021-06-02,118
"early signs of the flu",2021-06-03,118
"early signs of the flu",2021-06-04,118
"early signs of the flu",2021-06-05,118
"early signs of the flu",2021-06-06,118
"early signs of the flu",2021-06-07,118
"early signs of the flu",2021-06-08,118
"early signs of the flu",2021-06-09,118
"early signs of the flu",2021-06-10,118
"early signs of the flu",2021-06-11,118
"early signs of the flu",2021-06-16,118
"early signs of the flu",2021-06-17,118
"early signs of the flu",2021-06-19,118
"early signs of the flu",2021-06-20,118
"early signs of the flu",2021-06-21,118
"early signs of the flu",2022-03-14,118
"early signs of the flu",2022-03-15,118
"early signs of the flu",2022-03-16,118
"early signs of the flu",2022-03-17,118
"early signs of the flu",2022-03-18,118
"early signs of the flu",2022-03-19,118
"early signs of the flu",2022-03-20,118
"early signs of the flu",2022-03-21,118
"early signs of the flu",2022-03-22,118
"early signs of the flu",2022-03-23,118
"early signs of the flu",2022-03-24,118
"early signs of the flu",2022-03-25,118
"early signs of the flu",2022-03-26,118
"early signs of the flu",2022-03-27,118
"early signs of the flu",2022-03-28,118
"early signs of the flu",2022-03-29,118
"early signs of the flu",2022-03-30,118
"early signs of the flu",2022-03-31,118
"early signs of the flu",2022-04-01,118
"early signs of the flu",2022-04-02,118
"early signs of the flu",2022-04-03,118
"early signs of the flu",2022-04-04,118
"early signs of the flu",2022-04-05,118
"early signs of the flu",2022-04-06,118
"early signs of the flu",2022-04-07,118
"early signs of the flu",2022-04-08,118
"early signs of the flu",2022-04-09,118
"early signs of the flu",2022-04-10,118
"early signs of the flu",2022-04-11,118
"early signs of the flu",2022-04-12,118
"early signs of the flu",2022-04-13,118
"early signs of the flu",2022-04-14,118
"early signs of the flu",2022-04-19,118
"early signs of the flu",2022-04-20,118
"early signs of the flu",2022-04-21,118
"early signs of the flu",2022-04-22,118
"early signs of the flu",2022-04-23,118
"early signs of the flu",2022-04-26,118
"early signs of the flu",2022-04-27,118
"early signs of the flu",2022-04-28,118
"early signs of the flu",2022-04-29,118
"early signs of the flu",2022-04-30,118
"early signs of the flu",2022-05-01,118
"early signs of the flu",2022-05-05,118
"early signs of the flu",2022-05-06,118
"early signs of the flu",2022-05-07,118
"early signs of the flu",2022-05-08,118
"early signs of the flu",2022-05-09,118
"early signs of the flu",2022-05-10,118
"early signs of the flu",2022-05-11,118
"early signs of the flu",2022-05-12,118
"early signs of the flu",2022-05-14,118
"early signs of the flu",2022-05-15,118
"fever",2021-03-26,117
"fever",2021-03-27,117
"fever",2021-03-28,117
"fever",2021-03-29,117
"fever",2021-03-30,117
"fever",2021-03-31,117
"fever",2021-04-01,117
"fever",2021-04-02,117
"fever",2021-04-03,117
"fever",2021-04-04,117
"fever",2021-04-05,117
"fever",2021-04-06,117
"fever",2021-04-07,117
"fever",2021-04-08,117
"fever",2021-04-09,117
"fever",2021-04-10,117
"fever",2021-04-11,117
"fever",2021-04-12,117
"fever",2021-04-13,117
"fever",2021-04-14,117
"fever",2021-04-15,117
"fever",2021-04-16,117
"fever",2021-04-17,117
"fever",2021-04-18,117
"fever",2021-04-19,117
"fever",2021-04-20,117
"fever",2021-04-21,117
"fever",2021-04-22,117
"fever",2021-04-24,117
"fever",2021-04-25,117
"fever",2021-04-26,117
"fever",2021-04-27,117
"fever",2021-04-28,117
"fever",2021-04-29,117
"fever",2021-04-30,117
"fever",2021-05-01,117
"fever",2021-05-02,117
"fever",2021-05-03,117
"fever",2021-05-06,117
"fever",2021-05-07,117
"fever",2021-05-08,117
"fever",2021-05-09,117
"fever",2021-05-10,117
"fever",2021-05-11,117
"fever",2021-05-12,117
"fever",2021-05-13,117
"fever",2021-05-14,117
"fever",2021-05-15,117
"fever",2021-05-16,117
"fever",2021-05-17,117
"fever",2021-05-18,117
"fever",2021-05-19,117
"fever",2021-05-20,117
"fever",2021-05-21,117
